focus,dimension,category,definition,example,include_in_tax_class,references
author,author_emotional_response,disgust,a reaction of revulsion to something perceived as offensive or repellent.,The author tells a story about how they saw someone urinating on the subway.,FALSE,https://en.wikipedia.org/wiki/Emotion_classification#Plutchik's_wheel_of_emotions; Nabi
author,author_emotional_response,envy,"a desire for something others have, coupled with resentment.",The author tells a story about how their coworker was promoted over them despite not being as good an employee as the author. ,FALSE,https://en.wikipedia.org/wiki/Emotion_classification#Plutchik's_wheel_of_emotions; Nabi
author,author_emotional_response,joy,a state of happiness and contentment.,The author tells a story about their wedding night that they remember fondly.,TRUE,https://en.wikipedia.org/wiki/Emotion_classification#Plutchik's_wheel_of_emotions; Nabi
author,author_emotional_response,pride,a sense of satisfaction from achievements or qualities.,The author tells a story about their coming out process and the ways their life has changed for the better since coming out.,TRUE,https://en.wikipedia.org/wiki/Emotion_classification#Plutchik's_wheel_of_emotions; Nabi
author,author_emotional_response,relief,a release from stress or tension after resolving a concern.,The author tells a story about narrowly avoiding being caught skipping the last hour of their work shift.,TRUE,https://en.wikipedia.org/wiki/Emotion_classification#Plutchik's_wheel_of_emotions; Nabi
author,author_emotional_response,hope,an optimistic expectation for a positive outcome.,The author tells a story about their persistence trying to learn the piano and their excitement about improving despite setbacks.,TRUE,https://en.wikipedia.org/wiki/Emotion_classification#Plutchik's_wheel_of_emotions; Nabi
author,author_emotional_response,compassion,concern for others' suffering.,The author tells a story about a limping dog they saw on the sidewalk on their way home from work.,TRUE,https://en.wikipedia.org/wiki/Emotion_classification#Plutchik's_wheel_of_emotions; Nabi
author,author_emotional_response,appreciation,"recognition and enjoyment of the good qualities of person, place, or thing.",The author tells a story about their gratitude for a mailman who delivered mail in their neighborhood for years.,TRUE,
author,author_emotional_response,connection,"closeness or shared understanding with a person, place, or thing.",The author tells a story about how they have been building new friendships and building a new home in a city they recently moved to. ,TRUE,
reader,character_appraisal,positive_appraisal_narr,a positive judgment of the narrator's actions or state.,"In the story within the post, the author intervened to help someone who was being harassed at a bar.",TRUE,Bezdek et al. (2013);
reader,character_appraisal,negative_appraisal_narr,a negative judgment of the narrator's actions or state.,"In the story within the post, the author made a snide comment to a colleague.",TRUE,Bezdek et al. (2013);
reader,character_appraisal,neutral_appraisal_narr,a neutral appraisal of the narrator's actions or state.,"In the story within the post, the author describes a routine day in their life as a student.",TRUE,
reader,character_appraisal,positive_appraisal_other_char,a positive judgment of a non-narrator character's actions or state.,"In the story within the post, the author's partner gave them a gift.",TRUE,Bezdek et al. (2013);
reader,character_appraisal,negative_appraisal_other_char,a negative judgment of a non-narrator character's actions or state.,"In the story within the post, someone proctoring a test that the author was taking ignored that some people were cheating.",TRUE,Bezdek et al. (2013);
reader,character_appraisal,neutral_appraisal_other_narr,a neutral appraisal of a non-narrator character's actions or state.,"In the story within the post, someone ordered a type of coffee that the narrator was unfamiliar with.",TRUE,
reader,causal_explanation,narr_explained_by_narr,"explaining some aspect of the narrator (e.g., their feelings or behavior) based on the perceived state (e.g., underlying values, beliefs, or goals) or actions of the narrator.","In the story within the post, the narrator quits their job and moves to a new city.",TRUE,
reader,causal_explanation,narr_explained_by_other_char_or_thing,"explaining some aspect of the narrator (e.g., their feelings or behavior) based on (1) the perceived state (e.g., underlying values, beliefs, or goals) or actions of a non-narrator character or (2) the perceived state of affairs or event not directly attributed to any character.","In the story within the post, the narrator expresses their frustration with a conversation they had with a friend.",TRUE,
reader,causal_explanation,other_char_or_thing_explained_by_narr,"explaining some aspect of (1) a non-narrator character (e.g., their feelings or behavior) or (2) the perceived state of affairs or event not directly attributed to any character based on the perceived state (e.g., underlying values, beliefs, or goals) or actions of the narrator.","In the story within the post, the narrator describes their depression and how it may be impacting their partner.",FALSE,
reader,causal_explanation,other_char_or_thing_explained_by_other_char_or_thing,"explaining some aspect of (1) a non-narrator character (e.g., their feelings or behavior) or (2) the perceived state of affairs or event not directly attributed to any character on (a) the perceived state (e.g., underlying values, beliefs, or goals) or actions of a non-narrator character or (b) some other perceived state of affairs or event not directly attributed to any character.","In the story within the post, the narrator describes how their manager has been more lax during the COVID-19 pandemic.",TRUE,
reader,prediction,narr_future_state,a prediction about the future state of the narrator.,The story within the post ends with the narrator's partner breaking up with the narrator.,TRUE,
reader,prediction,narr_future_action,a prediction about the future actions of the narrator.,The story within the post ends with the narrator's partner making an ultimatum for the narrator.,TRUE,
reader,prediction,other_char_future_state,a prediction about the future state of a non-narrator character.,The story within the post ends with the narrator breaking up with their partner.,TRUE,
reader,prediction,other_char_future_action,a prediction about the future actions of a non-narrator character.,The story within the post ends with the narrator making an ultimatum for their partner.,TRUE,
reader,prediction,non_char_thing_future_state,a prediction about a future state not directly caused by a character ,The story within the post speculates about the state of technology in 100 years.,FALSE,
reader,prediction,non_char_thing_future_event,a prediction about a future event not directly caused by a character ,The story within the post speculates on the impending demise of Black Friday sales due to increased online retail.,TRUE,
reader,stance,support_belief_norm,a stance that mostly agrees with the stance most recently expressed (explicitly or implictly) in the preceding conversation. ,The story within the post is about how the narrator conducted extensive research to learn that the risk of shark attacks on the beaches of California is marginal.,TRUE,
reader,stance,counter_belief_norm,a stance that mostly disagrees with the stance most recently expressed (explicitly or implictly) in the preceding conversation. ,The story within the post is about how gambling is an effective way to get out of debt.,TRUE,
reader,stance,neutral_belief_norm,a stance that is neutral to the stance most recently expressed (explicitly or implictly) in the preceding conversation. ,The story within the post is about the narrator's strong opinion about a highly niche topic that most people don't know or care about.,TRUE,
reader,moral,self-direction,"independent thought and action, expressed in choosing, creating and exploring.",The story within the text is about how Copernicus discovered that the Earth revolves around the Sun despite the contemporary belief that the Earth was at the center of the solar system.,TRUE,
reader,moral,stimulation,"excitement, novelty, and challenge in life.",The story within the text is about someone travelling internationally for the first time.,TRUE,
reader,moral,hedonism,"pleasure, enjoyment, or sensuous gratification for oneself.",The story within the text is about how someone had an exhilarating experience seeing their favorite band at a concert. ,TRUE,
reader,moral,achievement,personal success through demonstrating competence according to social standards,The story within the text is about a person earning their nursing degree.,TRUE,
reader,moral,power,control or dominance over people and resources; social status and prestige,The story within the text is about how a new CEO changed the direction of a company and let go 200 employees.,TRUE,
reader,moral,security,"safety, harmony, and stability of society, of relationships, and of self.",The story within the text is about how a narrator had a difficult conversation with their mother about their relationship dynamic which benefited it in the long run.,TRUE,
reader,moral,conformity,"restraint of actions, inclinations, and impulses likely to upset or harm others and violate social expectations or norms in everyday interactions, usually with close others",The story within the text is about how the narrator navigated flirtatious conversations with a coworker when the narrator was in a committed relationship.,TRUE,
reader,moral,tradition,"respect, commitment, and acceptance of the customs and ideas that one's culture or religion provides.",The story within the text is about how someone's religious beliefs and practices evolved over time.,TRUE,
reader,moral,benevolence,preserving and enhancing the welfare of those with whom one is in frequent personal contact (the 'in-group').,The story within the text is about how the narrator's neighbors brought him food each night while he recovered from a surgery.,TRUE,
reader,moral,universalism,"understanding, appreciation, tolerance, and protection for the welfare of all people and for nature.",The story within the text is about how people everywhere are struggling due to labor issues with the rise of automation.,TRUE,
reader,narrative_feeling,fear,a response to perceived danger or threat.,The story within the post is about increased violence in their community.,TRUE,
reader,narrative_feeling,guilt,remorse for violating personal or social standards.,The story within the post is about how the community (of which the reader is presumably a part) has failed to uphold their community standards.,FALSE,
reader,narrative_feeling,anger,"a strong reaction to perceived harm, injustice, or frustration.",The story within the post is an attack on a marginalized group.,TRUE,
reader,narrative_feeling,sadness,"a sense of loss, disappointment, or helplessness.",The story within the post is about the difficulty of making friends in a new city.,TRUE,
reader,narrative_feeling,disgust,a reaction of revulsion to something perceived as offensive or repellent.,The story within the post is about a time the author accidentally sneezed into a customer's food while working at a restaurant and didn't tell them.,TRUE,
reader,narrative_feeling,envy,"a desire for something others have, coupled with resentment.",The story within the post is about the author winning the lottery.,FALSE,
reader,narrative_feeling,joy,a state of happiness and contentment.,The story within the post depicts a heartwarming moment about two twins separated at birth reunited after 20 years.,TRUE,
reader,narrative_feeling,pride,a sense of satisfaction from achievements or qualities.,The story within the post is about a community to which both the author and reader belong rebuilt itself after a terrible flood.,TRUE,
reader,narrative_feeling,relief,a release from stress or tension after resolving a concern.,"The story within the post is about how the author almost fell from a rock face during a free climb, but managed to save themselves.",FALSE,
reader,narrative_feeling,hope,an optimistic expectation for a positive outcome.,The story within the post in a job forum is about how a company just posted 100 new job listings.,TRUE,
reader,narrative_feeling,compassion,sympathy and concern for others' suffering.,The story within the post is about a fictional anthropomorphic mouse that got caught in a mouse trap.,TRUE,
reader,narrative_feeling,appreciation,"recognition and enjoyment of the good qualities of person, place, or thing.",The story within the post is about how the author has regularly picked up litter in a local creek for over a decade.,TRUE,
reader,narrative_feeling,connection,"closeness or shared understanding with a person, place, or thing.",The story within the post in a forum dedicated to a particular U.S. State recounts how the governor has stood up for the state in national politics.,TRUE,
reader,aesthetic_feeling,suspense,a feeling of excitement or anxiety in anticipation of an imminent event.,The story within the text recounts the narrator's anxious week at work as they anticipated getting let go after hearing about company-wide layoffs. ,TRUE,
reader,aesthetic_feeling,curiosity,desire for information from the past to explain the present,The story within the text introduces a character with a stab wound but is not told how they were wounded.,TRUE,
reader,aesthetic_feeling,surprise,experiencing an unexpected or shocking event.,The story within the text describes the narrator accidentally cutting the tip of their finger off while making dinner.,TRUE,
reader,aesthetic_feeling,attention_engagement,"finding the story to be compelling and capable of holding one's attention, as opposed to mundane or banal.",The story within the text describes a high-speed getaway from a bank robbery.,TRUE,
reader,aesthetic_feeling,transportation,"immersion, absorption, or feeling pulled into the world of the story.",The story within the text is suspenseful and describes how the narrator was running from someone chasing them late at night in the woods.,TRUE,
reader,aesthetic_feeling,evocation,"visualization, e.g. due to vivid language.",The story contains a whimsical description of the variously shaped clouds floating through the sky.,TRUE,
reader,aesthetic_feeling,amusement,finding the story to be funny or to contain amusing elements.,The story within the text recounts the narrator mistaking their best friend for their romantic partner.,TRUE,
reader,aesthetic_feeling,other,an aesthetic feeling not covered by the provided categories,~,TRUE,
